0,2576
1,2577
2,2578
3,2579
4,2580
4,2581
4,2582
7,2583
7,2584
7,2585
10,2586
11,2587
12,2588
13,2589
14,2590
15,2591
16,2581
17,2586
18,2594
18,2595
20,2581
21,2581
22,2579
22,2581
22,2585
22,2591
22,2602
22,2603
22,2604
22,2605
30,2606
31,2607
32,2582
32,2583
32,2591
32,2611
36,2581
37,2586
38,2582
39,2615
40,2616
41,2617
42,2603
43,2616
44,2581
44,2590
44,2591
44,2595
44,2603
44,2625
50,2626
51,2603
52,2628
53,2629
54,2590
55,2631
56,2632
57,2581
58,2581
58,2585
60,2636
61,2582
61,2584
63,2581
63,2584
65,2590
66,2611
67,2643
68,2581
68,2594
68,2605
71,2582
72,2586
73,2602
74,2581
75,2581
76,2581
77,2653
78,2581
78,2655
80,2587
81,2657
82,2576
82,2591
82,2603
85,2657
86,2657
87,2657
88,2591
89,2584
90,2666
91,2586
92,2668
93,2611
94,2670
95,2611
96,2655
97,2655
98,2586
99,2632
99,2676
101,2595
102,2678
103,2582
103,2591
105,2681
106,2594
107,2683
108,2602
109,2685
110,2603
110,2670
112,2688
113,2689
114,2690
115,2590
116,2611
117,2693
118,2581
119,2695
120,2582
121,2581
121,2582
121,2584
121,2690
125,2581
126,2611
127,2603
128,2617
129,2586
130,2625
131,2707
132,2690
133,2581
133,2611
133,2636
136,2712
137,2611
138,2714
139,2676
140,2586
141,2595
142,2582
143,2580
143,2582
143,2586
143,2590
143,2595
143,2605
143,2611
143,2726
143,2727
152,2586
153,2602
154,2668
155,2690
156,2591
157,2581
158,2584
158,2602
160,2581
160,2590
162,2594
162,2739
164,2740
165,2590
166,2580
166,2582
168,2611
169,2745
170,2584
171,2616
172,2690
173,2576
174,2581
175,2587
176,2752
177,2581
178,2595
179,2586
179,2591
179,2757
182,2714
183,2595
184,2690
185,2761
186,2586
187,2594
187,2595
187,2605
190,2668
191,2595
192,2768
193,2690
194,2631
195,2585
195,2586
197,2581
198,2774
199,2582
199,2603
201,2590
202,2761
203,2611
204,2780
205,2693
206,2584
206,2616
206,2688
209,2585
210,2586
211,2595
212,2585
213,2586
214,2587
215,2655
216,2689
217,2793
218,2603
219,2795
220,2689
221,2797
222,2586
222,2611
224,2668
225,2801
226,2761
227,2581
228,2595
229,2590
230,2806
231,2807
231,2808
231,2809
231,2810
235,2811
236,2689
237,2689
238,2814
239,2585
240,2739
241,2631
242,2739
243,2657
244,2581
245,2591
246,2636
247,2607
248,2603
249,2586
250,2582
251,2603
251,2828
253,2588
253,2830
255,2831
256,2832
257,2806
258,2578
258,2605
258,2836
258,2837
258,2838
263,2590
264,2582
265,2590
266,2668
267,2602
267,2616
269,2845
270,2611
271,2587
272,2848
273,2582
274,2587
275,2581
276,2583
276,2584
278,2583
279,2676
280,2591
281,2595
281,2666
283,2632
284,2595
285,2603
286,2603
287,2611
288,2714
289,2590
290,2690
291,2603
292,2585
293,2740
293,2870
295,2581
295,2582
297,2873
298,2581
299,2582
300,2676
301,2584
301,2809
303,2594
304,2584
304,2585
304,2605
307,2809
308,2578
309,2578
310,2584
310,2887
312,2586
313,2585
314,2582
315,2586
316,2590
317,2580
318,2894
319,2666
320,2845
321,2586
321,2594
323,2899
324,2584
324,2615
324,2678
324,2903
328,2904
329,2581
330,2906
331,2584
332,2688
333,2690
334,2586
335,2586
336,2590
337,2586
338,2586
338,2915
340,2916
341,2585
342,2918
343,2583
344,2586
345,2678
346,2607
347,2923
348,2581
349,2595
350,2745
351,2582
352,2581
352,2590
354,2603
355,2584
356,2932
357,2586
358,2582
359,2603
360,2932
361,2586
362,2616
363,2595
364,2940
365,2590
366,2581
367,2583
368,2727
369,2578
369,2605
371,2578
372,2948
373,2714
374,2581
375,2590
375,2607
375,2655
378,2587
379,2602
380,2584
380,2957
382,2576
383,2690
383,2960
385,2961
386,2581
387,2963
387,2964
389,2581
390,2578
391,2967
392,2655
393,2583
393,2584
395,2631
396,2607
397,2625
398,2584
399,2581
400,2976
401,2636
402,2611
403,2689
404,2655
405,2676
406,2982
407,2611
408,2689
409,2576
409,2586
411,2655
412,2586
413,2579
413,2580
413,2581
413,2582
413,2584
413,2585
413,2586
413,2587
413,2590
413,2591
413,2594
413,2595
413,2602
413,2611
413,2668
413,2690
413,2740
413,2797
413,2845
413,2903
413,2923
413,2960
413,3011
413,3012
413,3013
413,3014
413,3015
