0,-0.583314657,0.16865024,-0.157588437,0.061600372,-0.517324328,-0.279236346,0.055953175,0.82284534,-0.450496256,0.064332716,-0.410626054,-0.198850304,-0.152485996,0.349436045,0.173527971,0.060024127,0.107224241,0.699730396,0.052515101,-0.156030297,-0.128484368,-0.591961563,0.081739716,-0.596383333,0.162658215,0.24647893,-0.433400333,-0.201893687,0.181597024,0.100549646,-0.291857898,0.072265923,0.4318434,-0.637414455,0.226195395,-0.130234569,-0.238307729,-0.050536942,0.297464222,-0.246015877,0.168044567,-0.104840338,0.195148617,0.13652578,-0.014562406,0.149639428,-2.919634581,0.154846564,-0.052146982,-0.419880688,0.023054436,-0.456136763,0.014073275,0.510874987,-0.072916657,0.30832535,-0.245619118,0.413749307,0.607141495,0.386950135,-0.18601124,-0.39790684,-0.349697977,0.13673912
1,-0.271822333,0.192774773,0.018556813,0.075649351,-0.491604954,-0.222891182,0.238844246,0.670834899,-0.181415498,-0.044974506,-0.479858696,-0.178855151,-0.248953357,0.42190364,0.294590324,0.138460666,0.016137572,0.596892774,0.008129733,-0.054632649,0.011042565,-0.478013575,0.095992759,-0.654123247,-0.007204515,-0.125060245,-0.257520407,-0.098745666,0.034652986,0.125647724,-0.310239077,0.030710708,0.149549335,-0.748085678,0.262376159,-0.049514987,-0.311562747,0.179562345,0.300263971,-0.105824932,0.109079048,-0.136556968,0.18440178,-0.011990838,-0.026127167,0.210516319,-2.910974741,0.150071844,-0.207108676,-0.3841919,0.109465927,-0.188138723,0.06837973,0.260100543,-0.156917632,0.438321054,-0.130629659,0.422691494,0.521494627,0.438281357,-0.158400819,-0.359358311,-0.228985712,0.094955713
2,-0.349017411,0.227245748,0.049442381,0.034713052,-0.355294675,-0.299904406,0.326809794,0.454267025,-0.241660148,0.001432728,-0.512081206,-0.29688251,-0.161363229,0.272839934,0.234004408,0.165789008,-0.004903814,0.473552138,0.061877489,-0.14856638,0.055524357,-0.283385873,-0.037357263,-0.504079938,0.127932981,-0.03029507,-0.254418582,-0.018671643,0.19746384,0.109921403,-0.298917383,0.058606405,0.266591579,-0.642535686,0.178628623,0.03177052,-0.179575607,0.258887053,0.373399824,-0.061832484,0.172558472,-0.118287019,0.103674561,0.064562894,-0.090274684,0.012249973,-2.91125536,0.258654386,-0.179993659,-0.354400545,0.149084061,-0.343218416,0.176168427,0.337705433,-0.276808441,0.37696448,-0.175250873,0.505531907,0.527447999,0.424809813,-0.150323629,-0.346592069,-0.163646042,0.119923145
3,-0.438724518,0.133531839,0.101080373,0.027149726,-0.567859173,-0.313230395,0.404121965,0.528710842,-0.128415227,-0.046839997,-0.427974343,-0.103455968,-0.326963753,0.418269902,0.24911499,0.048908599,0.174744099,0.69176358,0.024687644,-0.196024805,0.069736265,-0.436506778,-0.068819128,-0.608106494,0.132220954,0.047200955,-0.227283865,-0.00183126,0.073169611,0.121873133,-0.380198359,0.165426791,0.226892173,-0.8016541,0.217130333,-0.049377054,-0.399651229,0.253189206,0.282563746,-0.101385973,0.083771482,-0.161208868,-0.010907032,-0.084928706,-0.181951821,0.20772469,-2.931434631,0.319174469,-0.320111066,-0.412616611,0.048081305,-0.33827728,0.166402504,0.384454936,-0.10962069,0.326006144,-0.085034914,0.252655983,0.368776381,0.298995852,-0.276693672,-0.300533831,-0.308799654,0.010074183
4,-0.233664528,0.180014849,0.145552307,0.284138888,-0.469334871,-0.170890048,0.125640973,0.550677478,-0.178493321,-0.025736012,-0.412876964,-0.318366557,-0.169547185,0.345655769,0.202090561,0.304307222,-0.061590683,0.465154976,-0.11775744,0.018628901,0.268030912,-0.364087313,0.067915298,-0.515716493,-0.00331183,-0.207428887,-0.214830101,-0.122537419,0.04247164,0.119770177,-0.506673157,-0.018271374,0.143280685,-0.735903323,0.269530088,-0.018433806,-0.161805555,0.248894885,0.435375988,-0.194626868,0.023074906,-0.150672913,0.086582839,0.021790452,-0.109624207,0.064238779,-2.725099325,0.271898031,-0.087728538,-0.358087361,0.060380209,-0.067159213,0.111728385,0.285312325,-0.213407323,0.443825454,-0.009448876,0.43244651,0.541661024,0.156463072,-0.007076327,-0.4601987,-0.178811193,0.115025163
7,-0.394495457,0.144948184,0.06107657,0.041800834,-0.546177626,-0.187507674,0.309077561,0.555536926,-0.206896082,-0.003481925,-0.44822216,-0.278235912,-0.296308517,0.403536886,0.313829541,0.20763275,0.087424614,0.59605819,-0.010634577,0.076149374,0.154517055,-0.450142056,0.030261725,-0.562913954,0.125676587,-0.101620063,-0.1986956,-0.114384249,0.024009973,0.10718777,-0.600930095,-0.096857712,0.324158609,-0.925967216,0.414821148,-0.088285036,-0.155688986,0.145338655,0.3236247,-0.17504862,-0.072035283,-0.050962314,0.241962552,0.03755784,-0.158745363,0.160612345,-3.092124939,0.315221965,-0.191458642,-0.458468914,0.158430144,-0.126617491,0.17715776,0.343977183,-0.22812742,0.455105275,-0.055034466,0.455926508,0.531791866,0.431082308,-0.193690941,-0.440573931,-0.290472716,-0.011726089
10,-0.394495457,0.144948184,0.06107657,0.041800834,-0.546177626,-0.187507674,0.309077561,0.555536926,-0.206896082,-0.003481925,-0.44822216,-0.278235912,-0.296308517,0.403536886,0.313829541,0.20763275,0.087424614,0.59605819,-0.010634577,0.076149374,0.154517055,-0.450142056,0.030261725,-0.562913954,0.125676587,-0.101620063,-0.1986956,-0.114384249,0.024009973,0.10718777,-0.600930095,-0.096857712,0.324158609,-0.925967216,0.414821148,-0.088285036,-0.155688986,0.145338655,0.3236247,-0.17504862,-0.072035283,-0.050962314,0.241962552,0.03755784,-0.158745363,0.160612345,-3.092124939,0.315221965,-0.191458642,-0.458468914,0.158430144,-0.126617491,0.17715776,0.343977183,-0.22812742,0.455105275,-0.055034466,0.455926508,0.531791866,0.431082308,-0.193690941,-0.440573931,-0.290472716,-0.011726089
11,-0.480312884,0.158295333,0.140330195,-0.008356716,-0.437630415,-0.172006413,0.284092128,0.552878618,-0.319664717,0.003993534,-0.497387707,-0.20732066,-0.17056635,0.322564095,0.23833023,0.143530518,0.0054012,0.475035459,0.006989326,-0.120270178,0.148833662,-0.382065713,0.049156472,-0.498286575,0.196796283,0.0983897,-0.246289492,-0.008432213,0.26576823,0.178616285,-0.355395824,-0.008051217,0.279825926,-0.691400945,0.225059897,-0.122148402,-0.048925634,0.125538781,0.348171383,-0.229330733,0.202720627,0.002629437,0.11905022,0.135345697,-0.028210074,0.13538377,-2.807312012,0.090173878,0.016197905,-0.440223604,0.16270417,-0.174277067,0.155460238,0.401172191,-0.152032629,0.483229101,-0.077974118,0.601651311,0.470153958,0.201519534,-0.263206124,-0.364396989,-0.247456715,0.05425889
12,-0.410226196,0.208315998,0.178772509,0.173788697,-0.395477682,-0.180745885,0.118652828,0.516522527,-0.215853959,0.000503667,-0.410984159,-0.119454898,-0.171967998,0.413136721,0.354962647,0.121977441,0.004666753,0.582039654,0.023100002,-0.038028806,0.132410824,-0.402160496,0.064222448,-0.537160516,0.23966305,-0.020177096,-0.153912634,-0.072531797,0.139184237,0.132621884,-0.382169843,-0.121271536,0.214097857,-0.729085386,0.205766946,-0.110450417,-0.214872643,0.288028061,0.371635646,-0.241903543,-0.005732127,-0.076622665,-0.009639215,-0.121272571,-0.137823611,0.189587712,-2.895854235,0.203093514,-0.195153594,-0.370136708,0.045179043,-0.158587724,0.104660697,0.334290385,-0.292703599,0.539907455,-0.195609227,0.53026098,0.562223971,0.231291816,-0.224916697,-0.482233346,-0.253615052,0.084662691
13,-0.310283422,0.029851604,-0.005026139,-0.055787325,-0.68092525,-0.303156227,0.157841563,0.617283344,-0.186563417,-0.059981354,-0.498147726,-0.174029708,-0.33483541,0.501163304,0.354672611,0.131037712,-0.005151539,0.616885841,0.039189674,-0.16680029,0.091490351,-0.420234293,-0.028169999,-0.514211118,0.209652379,0.076156452,-0.282448858,-0.030364405,0.095476083,0.159611434,-0.425201803,0.111249804,0.184645563,-0.638696611,0.249233752,0.041276723,-0.244618073,0.140086547,0.218149826,-0.114625186,0.148618713,-0.262003064,0.051527526,-0.055755485,0.027098998,0.116897374,-2.947914362,0.271461517,-0.322374284,-0.436378628,0.006538341,-0.218506843,0.184578523,0.391117036,-0.210103691,0.422752529,-0.029981449,0.438674539,0.478768259,0.370096266,-0.246005625,-0.447017729,-0.053531479,0.083563253
